,store,sido,gungu,store_address
0,수안점,부산광역시,동래구,"부산광역시 동래구 충렬대로218번길 26, 비동 1층(수안동)"
1,오전점,경기도,의왕시,"경기도 의왕시 등칙골4길 14, 1층 103호(오전동)"
2,남항점,부산광역시,영도구,"부산광역시 영도구 남항로19번길 38, 1층(남항동1가)"
3,화정점,울산광역시,동구,울산광역시 동구 대송8길 31(화정동)
4,청북점,경기도,평택시,경기도 평택시 청북읍 안청로4길 42
5,오산운암점,경기도,오산시,경기도 오산시 원동로6 (원동)
6,팔판점,경상남도,김해시,"경상남도 김해시 계동로23번길 5, 1층 111호(관동동, 대우프라자)"
7,망양점,울산광역시,울주군,울산광역시 울주군 온양읍 덕망로 270
8,우정점,울산광역시,중구,울산광역시 중구 우암길 1(우정동)
9,와동점,경기도,안산시,경기도 안산시 단원구 화정천동로 2안길 28
10,성안점,울산광역시,중구,"울산광역시 중구 함월16길 13-1, 1층 (성안동)"
11,선암점,울산광역시,남구,"울산광역시 남구 두왕로 174번길 35-1, 1층(선암동)"
12,대화점,경기,고양시,"경기 고양시 일산서구 강성로 271 (대화동,대화씨티빌 101호)"
13,갈매점,경기도,구리시,"경기도 구리시 갈애순환로 198, 1층 101호(갈매동, 비젼프라자)"
14,신주례점,부산광역시,사상구,부산광역시 사상구 백양대로 502(주례동)
15,서창2점,인천광역시,남동구,인천광역시 남동구 서창동 707-3
16,신안평거점,경남,진주시,"경남 진주시 신평공원길 25번길 8-4,1층"
17,봉곡사림점,경남,창원시,"경남 창원시 의창구 봉곡로 50,1층(봉곡동)"
18,석동점,경남,창원시,"경남 창원시 진해구 진해대로 886번길 20,1층(석동)"
19,옥정1호점,경기도,양주시,경기도 양주시 옥정동로 173 레이크프라자 107호
20,인천장기점,인천광역시,계양구,인천광역시 계양구 장기로 29 (장기동)
21,구로점,서울특별시,구로구,서울특별시 구로구 구로동로 213
22,헬리오시티점,서울시,송파구,서울시 송파구 가락로 16길 2-26 (석촌동)
23,남동탄점,경기도,화성시,경기도 화성시 동탄대로4길95 (장지동)
24,구서점,부산광역시,금정구,"부산광역시 금정구 금강로 563, 1층(구서동)"
25,국제신도시점,부산광역시,강서구,"부산광역시 강서구 명지국제5로 14, 1층 101호(명지동, 서진빌딩)"
26,평창점,강원도,평창군,강원도 평창군 평창읍 백오1길 33
27,여주교동점,경기도,여주시,경기도 여주시 세종로 254-16 (교동)
28,도원점,대구광역시,달서구,대구광역시 달서구 도원남로56 산새마을 분산상가 1층 103호
29,좌동상록점,부산광역시,해운대구,"부산광역시 해운대구 세실로 7, 104호(좌동, 해운대상록아파트상가)"
30,구남역점,부산광역시,북구,부산광역시 북구 백양대로 1015번길 15(구포동)
31,이천점,경기도,이천시,경기도 이천시 관고동 12-4
32,부곡점,부산광역시,금정구,부산광역시 금정구 동현로 23(부곡동)
33,석산점,경상남도,양산시,경상남도 양산시 동면 금오7길 24
34,문현1동점,부산광역시,남구,"부산광역시 남구 고동골로 66, 1층(문현동)"
35,양정1호점,부산광역시,부산진구,부산광역시 부산진구 양지로 5번길 20(양정동)
36,통진점,경기도,김포시,경기도 김포시 통진읍 서암로6번길 5-21
37,상동점,경남,거제시,경남 거제시 거제중앙로3길 14-2(상동동)
38,반송2호점,부산광역시,해운대구,"부산광역시 해운대구 아랫반송로 51, 1층(반송동)"
39,소사벌점,경기도,평택시,경기도 평택시 비전동 1053
40,동탄중앙점,경기도,화성시,경기도 화성시 동탄산척로 2나길 6-7 (산척동)
41,항구영일대점,경상북도,포항시,경상북도 포항시 북구 아호로 3
42,반야월점,대구광역시,동구,대구광역시 동구 안심로41길 47
43,테크노폴리스점,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 326-35
44,비전점,경기도,평택시,경기도 평택시 중앙로235 (비전동)
45,능곡점,경기도,시흥시,경기도 시흥시 능곡중앙로77
46,비산점,경기도,안양시,경기도 안양시 동안구 평촌대로408 (비산동)
47,부곡점,경기도,의왕시,경기도 의왕시 삼동 150-16
48,홍성점,충남,홍성군,충남 홍성군 홍성읍 충절로1053번길 41
49,율량사천점,충북,청주시,충북 청주시 청원구 율량로190번길19
50,증평점,충북,증평군,충북 증평군 증평읍 문화로83
51,송강테크로점,대전시,유성구,대전시 유성구 구즉로48번길10
52,몰운대롯데캐슬점,부산광역시,사하구,"부산광역시 사하구 다대낙조2길 100, 101호(다대동,롯데캐슬몰운대아파트부상가)"
53,옥포돌미점,대구시,달성군,대구시 달성군 옥포면 돌미상업로2길 26
54,영양점,경상북도,영양군,경상북도 영양군 영양읍 중앙로 111
55,대도점,경상북도,포항시,경상북도 포항시 남구 대도동 163-1
56,대합공단점,경남,창녕군,경남 창녕군 대합면 대합산업단지로 119-15
57,배곧점,경기도,시훙시,경기도 시훙시 배곧4로32-27
58,광주점,경기도,광주시,경기도 광주시 송정동111-1
59,신하점,경기도,이천시,경기도 이천시 부발읍 신하리 432-15
60,관양점,경기도,안양시,경기도 안양시 동안구 관양동 1429-12
61,중동점,경기도,부천시,경기도 부천시 원미구 부흥로 272번길 22
62,조암점,경기도,화성시,경기도 화성시 장안면 기아자동차로 789 103호
63,정왕점,경기도,시흥시,경기도 시흥시 정왕동 1193-14
64,일죽점,경기도,안성시,경기도 안성시 일죽면 송천리 18
65,인계점,경기도,수원시,경기도 수원시 팔달구 인계동 1008-9
66,이천사동점,경기도,이천시,경기도 이천시 대월면 사동리 182-2
67,은행점,경기도,시흥시,"경기도 시흥시 시흥대로 1074번길 28,106호(은행동, 녹원아파트 상가동)"
68,월곶점,경기도,시흥시,경기도 시흥시 월곶동 995
69,원곡점,경기도,안성시,경기도 안성시 원곡면 만세로 1058
70,우만점,경기도,수원시,경기도 수원시 팔달 우만동 481-29
71,호법점,경기도,이천시,경기도 이천시 호법면 후안리 267-4
72,하안8점,경기도,광명시,경기도 광명시 하안동 260-2 8단지상가 104-2
73,하안12점,경기도,광명시,경기도 광명시 하안동 62-4  1층 3호
74,하안11점,경기도,광명시,경기도 광명시 하안동 305  10 단지상가  104
75,포일내손점,경기도,의왕시,경기도 의왕시 내손동652-15
76,포도원,경기도,안양시,경기도 안양시 동안구 호계3동 811 현대홈타운상가 107
77,평촌5점,경기도,안양시,경기도 안양시 동안구 평촌동 898-2 초원아파트상가110
78,태전점,경기도,광주시,경기도 광주시 태전동 688-1
79,철산점,경기도,광명시,경기도 광명시 철산동 240  주공13단지 상가동
80,철산2점,경기도,광명시,"경기도 광명시 연서로2번길 11, 1층 1호(철산동)"
81,천리점,경기도,용인시,경기도 용인시 이동면 천리 56-6
82,중앙대,경기도,안성시,경기도 안성시 대덕면 내리 682-3
83,안양중앙점,경기도,안양시,경기도 안양시 만안구 안양동 711-815
84,안양2점,경기도,안양시,경기도 안양시 만안구 안양동 873-162
85,안성점,경기도,안성시,경기도 안성시 도기 4길 9(도기동)
86,신흥산성점,경기도,성남시,경기도 성남시 수정구 수정남로 305번길11.103호
87,신천리점,경기도,시흥시,경기도 시흥시 호현로49번안길 1(대야동)
88,신갈점,경기도,용인시,경기도 용인시 기흥구 신구로 38 청솔학원
89,송내우성,경기도,부천시,경기도 부천시 소사구 송내동 336-15
90,소사점,경기도,부천시,"경기도 부천시 소사구 소사로202번길 27, 1층(소사본동)"
91,성포점,경기도,안산시,경기도 안산시 상록구 성포동 592-2
92,석수엘지점,경기도,안양시,경기도 안양시 만안구 석수동 415-2 엘지빌리지 상가
93,샘마을점,경기도,안양시,경기도 안양시 동안구 호계동 1116 샘마을상가 1층
94,삼보점,경기도,시흥시,경기도 시흥시 대야동 275 삼보상가 1층 1호
95,산본점,경기도,군포시,경기도 군포시 산본동 1069-3 (1층)
96,북리점,경기도,용인시,경기도 용인시 처인구 남사면 북리 680-13
97,북내점,경기도,여주시,경기도 여주시 북내면 여양2로 274
98,케이준 부곡점,경기도,안산시,경기도 안산시 상록구 성호로340
99,보정점,경기도,용인시,"경기도 용인시 기흥구 죽현로 8-20 130(보정동,아이원프라자)"
100,범계점,경기도,안양,경기도 안양 동안 비산 1102 관악타운 상가122
101,백암점,경기도,용인시,경기도 용인시 처인구 백암면 백암리 391번지
102,백사점,경기도,이천시,경기도 이천시 백사면 현방리 67-12
103,박달점,경기도,안양시,경기도 안양시 만안구 박달동 149-1
104,미양점,경기도,안성시,경기도 안성시 미양면 보체리 405 상가 501동 101호
105,모현점,경기도,용인시,경기도 용인시 처인구 모현면 일산리112-82
106,만선점,경기도,광주시,경기도 광주시 곤지암읍 만선로 45
107,둔전점,경기도,용인시,경기도 용인시 처인구 포곡읍 포곡로 118번길 24-11
108,대림동산점,경기도,안성시,"경기도 안성시 공도읍 가족공원길 26, 나동 1층"
109,능평점,경기도,광주시,경기도 광주시 오포읍 수레실길 5
110,금정점,경기도,군포시,경기도 군포시 금정동 79-1 1층
111,군포점,경기도,군포시,경기도 군포시 당동 914-5번지
112,구성점,경기도,용인시,"경기도 용인시 기흥구 구성로 186(언남동, 신일푸른솔아파트단지내 1층"
113,광명2점,경기도,광명시,경기도 광명시 광명동 158-240 1층
114,공도점,경기도,안성시,경기도 안성시 공도읍 고무다리길 3
115,거모점,경기도,시흥시,경기도 시흥시 군자로504번안길 12(거모동)
116,갈산점,경기도,이천시,경기도 이천시 갈산로 87번길 4(갈산동)
117,가남점,경기도,여주시,경기도 여주시 가납읍 태평중앙1길 8-10
118,한솔새롬점,세종시,누리로28,세종시 누리로28
119,금정산SK점,부산광역시,금정구,"부산광역시 금정구 식물원로 82, 302동 201호(장전동, 금정에스케이뷰)"
120,평촌2점,경기도,안양시,경기도 안양시 동안구 평촌대로127번길 38
121,목감점,경기도,시흥시,경기도 시흥시 목감중앙서로20 시흥목감엘에이치 7단지
122,시화계룡점,경기도,시흥시,"경기도 시흥시 중심상가로 127, 상가동 108호(정왕동)"
123,시화3점,경기도,시흥시,"경기도 시흥시 정왕대로28번길 31 , 110(정왕동)"
124,시화2점,경기도,시흥시,"경기도 시흥시 옥구천서로373번길 43, 104호(정왕동, 주공1단지분산상가)"
125,연지점,부산광역시,부산진구,"부산광역시 부산진구 새싹로 184, 1층 101호(연지동, 연지메디컬센터)"
126,신라대점,부산광역시,사상구,"부산광역시 사상구 백양대로 703, A동(덕포동)"
127,연제점,부산광역시,연제구,부산광역시 연제구 거제천로 183(거제동)
128,정관롯데캐슬점,부산광역시,기장군,"부산광역시 기장군 정관읍 정관3로 52, 상가동 101호(롯데캐슬)"
129,호계2점,경기도,안양시,경기도 안양시 동안구 호계동 912-2
130,향남2점,경기도,화성시,경기도 화성시 향남읍 신광길 19. 102호
131,위례점,경기도,성남시,경기도 성남시 수정구 위례순환로 4길 34(창곡동)
132,신림역점,서울특별시,관악구,"서울특별시 관악구 신림동길 40, 101(신림동)"
133,동삭점,경기도,평택시,"경기도 평택시 동삭로 397 상가동 104,105호"
134,길동점,서울시,강동구,서울시 강동구 길동 99-1
135,괴안점,경기도,부천시,경기도 부천시 소사 괴안동 89-1
136,곤지암점,경기,광주시,경기 광주시 곤지암읍 곤지암리 435-91
137,고강점,경기도,부천시,"경기도 부천시 오정구 원종로 122, 101호(고강동, 가람5차)"
138,덕진하가점,전북,전주시,전북 전주시 덕진구 가리내5길 16 103호(덕진동2가)
139,삼안점,경상남도,김해시,경상남도 김해시 삼안로 131번길 8-4(삼방동)
140,북정점,경상남도,양산시,경상남도 양산시 북정로 101(북정동)
141,산하1호점,울산광역시,북구,"울산광역시 북구 화암6길 14, 1층 101호(산하동)"
142,부곡월산점,경상남도,김해시,"경상남도 김해시 월산로 111-67,1 1층 105호(부곡동, 신화프라자)"
143,괘법한신점,부산광역시,사상구,"부산광역시 사상구 광장로 37번길 82, 1층(괘법동,대동래미안)"
144,아주점,경남,거제시,"경남 거제시 아주1로1길 7-2,1층(아주동)"
145,오동동점,경남,창원시,경남 창원시 마산합포구 오동동10길 15(오동동)
146,예산점,충남,예산군,충남 예산군 예산읍 역전로 160번길 16. 1층 107
147,대소점,충북,음성군,충북 음성군 대소면 오태로 75-1
148,옥포돌미점,경상남도,창녕군,경상남도 창녕군 대합면 대합산업단지로 119-15
149,대도점,경상북도,포항시,경상북도 포항시 남구 상대로 142
150,진천장관점,충북,진천군,충북 진천군 진천읍 장관2길 139-1
151,삼성2점,대전,동구,대전 동구 현암로 36
