,store,sido,gungu,store_address
0,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로51길 11, 1층 102호(가양동,신환빌딩)"
1,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동)
2,강서구청점,서울특별시,강서구,"서울특별시 강서구 화곡로51길 7, 1층(화곡동,광성빌딩)"
3,개봉1점,서울특별시,구로구,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)"
4,개포2점,서울특별시,강남구,서울특별시 강남구 선릉로6길 12. 1층(개포동)
5,개포3점,서울특별시,강남구,서울특별시 강남구 개포로22길 23. 지상1층(개포동)
6,경복점,서울특별시,강남구,"서울특별시 강남구 봉은사로43길 8, 1층 102호(논현동)"
7,고덕역점,서울특별시,강동구,서울특별시 강동구 고덕1동 643-2
8,고척동점,서울특별시,구로구,서울특별시 구로구 고척2동 164-41
9,공덕동점,서울특별시,마포구,서울특별시 마포구 공덕동 111-187
10,공덕역점,서울특별시,마포구,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)"
11,공릉철길공원점,서울특별시,노원구,서울특별시 노원구 동일로184길 69. 1층(공릉동)
12,광나루점,서울특별시,광진구,서울특별시 광진구 광장동 277-12 1층
13,광장동점,서울특별시,광진구,서울특별시 광진구 구의동 203-24
14,교대역점,서울특별시,서초구,서울특별시 서초구 서초동 1640-1 1층
15,구로2동점,서울특별시,구로구,서울특별시 구로구 구로2동 726-32
16,구의동점,서울특별시,광진구,서울특별시 광진구 자양로 322 (구의동)
17,궁동점(서울),서울특별시,구로구,"서울특별시 구로구 부일로15길 4, 1층 103호(궁동)"
18,금호로타리점,서울특별시,성동구,서울특별시 성동구 무수막길 89-2
19,금호역점,서울특별시,성동구,서울특별시 성동구 금호동3가 1394-3
20,길동2점,서울특별시,강동구,서울특별시 강동구 천중로49길 29(길동)
21,길동3점,서울특별시,강동구,"서울특별시 강동구 천호대로185길 89(길동, 1층)"
22,길음점,서울특별시,성북구,서울특별시 성북구 길음로 74 길음뉴타운5단지 2-105
